entry_id,temperature,humidity,label
213,27.9,81.7,0
214,27.9,83,0
215,27.9,85.2,0
216,27.9,85.1,0
217,27.9,85.2,0
218,27.9,84.6,0
219,28,85.1,0
220,27.9,83.2,0
221,27.8,85.1,0
222,27.8,85.1,0
223,27.8,84.2,0
224,27.8,84,0
225,27.8,84.1,0
226,27.7,85.4,0
227,27.8,85.3,0
228,27.7,85.6,0
229,27.7,83.9,0
230,27.6,83.8,0
231,27.6,84.8,0
232,27.5,85,0
233,27.5,84.6,0
234,27.5,86.5,0
235,27.6,86.5,0
236,27.8,86.2,0
237,27.7,86.5,0
238,27.6,84.5,0
239,27.6,84.8,0
240,27.6,85.1,0
241,27.7,85.9,0
242,27.7,85.6,0
243,27.7,86.5,0
244,27.7,85.5,0
245,27.6,84.7,0
246,27.5,84.6,0
247,27.5,85.5,0
248,27.6,86.8,0
249,27.7,86.6,0
250,27.7,86.5,0
251,27.7,85.3,0
252,27.7,86.2,0
253,27.7,86.3,0
254,27.8,86.4,0
255,27.7,85.7,0
256,27.7,84.1,0
257,27.7,86.5,0
258,27.7,85,0
259,27.7,85.2,0
260,27.7,86.2,0
261,27.6,84.8,0
262,27.7,86.6,0
263,27.8,86.6,0
264,27.8,85.8,0
265,27.9,86.3,0
266,27.9,86.3,0
267,27.9,85.7,0
268,27.9,85.5,0
269,27.9,85.9,0
270,28,85.8,0
271,27.9,84.5,0
272,27.9,85.5,0
273,28,85.8,0
274,28,84.8,0
275,28,84.8,0
276,27.9,85,0
277,28,85,0
278,27.9,83.9,0
279,27.8,84.7,0
280,27.8,86.1,0
281,27.5,84.7,0
282,27.7,85.7,0
283,27.6,84.4,0
284,27.6,85.5,0
285,27.6,86,0
286,27.6,86.2,0
287,27.6,85.7,0
288,27.5,84.3,0
289,27.4,87.4,0
290,27.5,85.9,0
291,27.4,85.8,0
292,27.4,87,0
293,27.4,85.5,0
294,27.5,88.1,0
295,27.6,86.7,0
296,27.6,87.9,0
297,27.6,87.6,0
298,27.6,86.4,0
299,27.6,86.2,0
300,27.6,86.2,0
301,27.5,85.7,0
302,27.5,85.5,0
303,27.4,87.3,0
304,27.5,87.9,0
305,27.5,87.5,0
306,27.5,86.2,0
307,27.4,86,0
308,27.4,86.2,0
309,27.4,86.6,0
310,27.4,88.2,0
311,27.5,88.3,0
312,27.6,86.5,0
313,27.4,87.7,0
314,27.6,87.5,0
315,27.6,85.7,0
316,27.6,85.5,0
317,27.6,87.5,0
318,27.6,87,0
319,27.7,87.6,0
320,27.6,86.4,0
321,27.7,87.4,0
322,27.7,86.2,0
323,27.6,86.2,0
324,27.6,84.9,0
325,27.6,86.8,0
326,27.6,86.1,0
327,27.7,87.5,0
328,27.7,86.8,0
329,27.7,87.3,0
330,27.6,86.3,0
331,27.6,87.5,0
332,27.6,87.3,0
333,27.8,87,0
334,27.7,87.1,0
335,27.6,87.2,0
336,27.6,86.1,0
337,27.6,86.6,0
338,27.5,86,0
339,27.4,85.5,0
340,27.4,87.9,0
341,27.5,88.7,0
342,27.5,87.7,0
343,27.5,86.9,0
344,27.5,87.5,0
345,27.5,86.3,0
346,27.4,87.1,0
347,27.3,86.7,0
348,27.2,87.1,0
349,27.2,88.2,0
350,27.3,87.8,0
351,27.2,87.2,0
352,27.2,87.8,0
353,27.2,87.7,0
354,27.1,87.8,0
355,27.1,88.7,0
356,27.1,88.7,0
357,27.1,88.9,0
358,27.2,90,0
359,27.2,88.7,0
360,27.2,88.3,0
361,27.2,90.1,0
362,27.2,88.8,0
363,27.2,88.1,0
364,27.3,90,0
365,27.2,90,0
366,27.2,89.5,0
367,27.3,88.8,0
368,27.3,89.1,0
369,27.2,88.3,0
370,27.2,89.7,0
371,27.3,89.3,0
372,27.5,89.5,0
373,27.9,87.5,0
374,27.4,87.9,0
375,27.3,86.6,0
376,27.3,88.8,0
377,27.3,87.7,0
378,27.3,89.3,0
379,27.3,88,0
380,27.3,88,0
381,27.2,88,0
382,27.1,88,0
383,27.2,88.5,0
384,27.1,88.5,0
385,27.1,88.8,0
386,27.2,88.8,0
387,27.1,88.4,0
388,27.1,90.1,0
389,27.2,90.2,0
390,27.2,90,0
391,27.3,90.1,0
392,27.3,90,0
393,27.2,89.4,0
394,27.3,89.1,0
395,27.2,89.3,0
396,27.6,88.6,0
397,27.1,88.1,0
398,27.5,88.4,0
399,27,88.6,0
400,27,88.8,0
401,27,89,0
402,27,89.5,0
403,27,89.4,0
